Time (sec),Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6
0,-1,0,-1.1,0,-1.2,0
1,-1,-0.4,0,0,-0.4,0
2,-3,-0.8,-1.1,-0.5,0,2
3,-2,0,-3.3,0.25,0.8,0.666666667
4,-1,-0.4,-2.2,0,0,-0.666666667
5,-1,0,-1.1,0,0,1.333333333
6,-2,-0.4,-1.1,0,0.8,1.333333333
7,-1,-0.4,-1.1,0,0.4,0
8,1,-0.4,1.1,0,0,1.333333333
9,0,-0.4,-2.2,-0.75,0,0.666666667
10,-1,-0.8,-2.2,0,0,-0.666666667
11,-1,-0.4,-1.1,0.25,0,0.666666667
12,0,0,-1.1,0.25,0,-0.666666667
13,-4,-0.4,0,-0.25,-1.2,-2
14,-2,-0.4,-1.1,0,0,0
15,-1,0,-1.1,0.25,0.4,-1.333333333
16,-1,-0.4,0,0.25,0.8,0
17,-1,0.4,0,-0.25,-0.4,-1.333333333
18,-1,-0.8,-1.1,0,-1.2,0.666666667
19,-1,-0.8,0,0.25,0,-0.666666667
20,-3,-0.8,-1.1,0,0,0
21,0,-0.8,-1.1,0,-0.4,-0.666666667
22,-1,-1.6,-1.1,0,-0.4,1.333333333
23,-1,-0.8,0,0,0,0
24,-4,0,0,0,0.8,0.666666667
25,-2,-0.4,-2.2,0.5,0.4,0
26,-1,-0.8,0,-0.25,-1.2,0
27,-2,-1.2,0,0,0,0
28,-1,0.8,0,0,0,-2
29,-2,0,0,0,0.8,0.666666667
30,-1,-0.4,-2.2,-0.25,1.2,0
31,-2,-0.8,-1.1,0,0.4,-0.666666667
32,0,-0.4,-1.1,0,0.8,0.666666667
33,-3,-0.8,0,-1,0,0.666666667
34,0,-0.8,1.1,0,0.8,1.333333333
35,-2,-0.4,0,0.25,-1.2,-0.666666667
36,0,-0.8,0,-0.5,0,1.333333333
37,-1,-0.4,-1.1,0.25,0.4,0.666666667
38,-1,0.8,-3.3,0.25,0,0
39,0,0,1.1,0,0.4,0.666666667
40,0,0,1.1,0,0,0
41,-1,-0.8,0,0,-1.2,-0.666666667
42,-3,-0.8,-1.1,0.25,-0.8,-0.666666667
43,-2,-0.4,1.1,0.25,0,0
44,0,-0.4,0,0,0,0.666666667
45,-1,-0.4,-1.1,0.25,0.4,1.333333333
46,-1,-0.4,0,0.25,0.8,-0.666666667
47,-1,0,1.1,0,0,-1.333333333
48,-1,-0.4,-1.1,0,0,0.666666667
49,0,-0.8,0,0,0,0
50,-3,-2.4,-1.1,0,0,0
51,0,-0.8,-3.3,0,0,-0.666666667
52,-1,-1.6,0,0.25,0,0
53,-1,-0.4,2.2,0.25,0.4,2
54,-3,-1.6,-2.2,0.25,-0.8,0
55,-3,-0.4,1.1,-0.25,0,0
56,-1,0,0,-0.25,0,-0.666666667
57,0,-0.4,0,0,0.4,0
58,-1,-1.2,0,0,0,0
59,-1,-0.4,0,0,0,-2
60,-2,-0.4,0,0,0,-3.333333333
61,0,-0.4,-1.1,0.25,0.4,0.666666667
62,-1,0,0,0.25,0.4,0
63,0,0,0,-0.5,0.4,0
64,0,-0.4,-3.3,0,0.4,0
65,-1,-0.8,0,0,0.8,-0.666666667
66,-1,-0.4,-2.2,0.25,0,0
67,2,-0.4,-1.1,0,0.4,1.333333333
68,0,-0.8,1.1,-0.5,0.4,0
69,-1,-0.8,-1.1,0.5,0,0
70,-1,0,0,0,0,0
71,-1,-0.4,-2.2,-0.5,0,0
72,-2,0.4,1.1,0.5,0.4,0.666666667
73,0,1.2,0,0,0,-0.666666667
74,-1,0,0,-0.5,0,-0.666666667
75,-1,0,0,-0.25,-0.4,0
76,0,-0.8,2.2,0,0.4,0.666666667
77,-1,0,0,0.25,0.4,0
78,-1,-0.4,0,-0.25,-0.4,0
79,-2,0.4,-1.1,0,0,-0.666666667
80,-1,-0.8,0,-0.5,0,1.333333333
81,0,0.4,0,-0.5,0.4,0.666666667
82,-1,0.4,0,0,0.8,-2.666666667
83,1,-0.4,1.1,0.25,0,0
84,-2,0,0,0,0.4,0.666666667
85,0,-0.4,0,0,0.8,-0.666666667
86,-1,-0.4,-2.2,-0.25,-0.8,0
87,-1,0.4,0,0,0,0
88,-1,-0.4,2.2,-0.25,0,-1.333333333
89,-2,-0.4,1.1,0.5,-0.4,0
90,-1,0.8,0,-0.25,-0.4,-0.666666667
91,-1,0.4,0,0.5,1.2,2
92,0,0.4,1.1,0.5,-0.4,0.666666667
93,-1,0.4,0,0,0.4,0.666666667
